a,b,n0,n1
2.02079012775972,0.29844335986254117,0,14
18.65734993058957,-0.022790612073490188,14,27
28.486320901965996,-0.0640440701471922,27,40
29.601496693741336,-0.05686455072814063,40,52
32.9086556709871,-0.0692598202009314,52,65
33.580085536045466,-0.07646351753657815,65,78
33.40027054460561,-0.08149421866992809,78,93
31.32074055722029,-0.06772303090638024,93,106
32.65543226731911,-0.07615236843438568,106,121
34.06351940148986,-0.07031605332378846,121,132
33.03014267081734,-0.0580601827040582,132,143
35.74794568320067,-0.07979724033969393,143,156
33.74775577302204,-0.10832175733382844,156,192
18.109204177135062,-0.09639390564612833,192,277
12.60381184319026,-0.07408521439808487,277,346
13.627405381390433,-0.069668680787656,346,391
16.03188741352464,0.057845205682394894,391,399
27.546652807055224,-0.10560799913337146,399,449
15.479209142559734,-0.08585734899212652,449,500
3.9055527276950586,-0.016670910331910135,0,7
14.701035745938022,-0.06289114218885808,7,40
18.44510771779549,-0.04309263021513138,40,57
26.75878639977813,-0.07936553647067231,57,76
23.599583159669244,-0.07161362060240534,76,96
24.396825683927144,-0.08450350861754449,96,121
21.94996476011979,-0.07842638765276254,121,147
21.32279585513089,-0.07216442781538204,147,170
22.389213337916523,-0.08312798226230808,170,199
19.926287191944137,-0.07302124430037855,199,224
20.83609111943554,-0.07567575663331733,224,250
20.853417964842635,-0.0786200314359549,250,278
20.28168395440473,-0.07526912070548254,278,305
20.504678668356874,-0.0706144499072657,305,328
21.874440294827988,-0.08076246256328706,328,355
22.383300451462976,-0.08222024132562514,355,383
18.79854907132784,-0.07116177488793904,383,410
20.028073794721795,-0.07978369317466841,410,441
18.35954353814772,-0.09821506155663898,441,500
3.2408432286896756,-0.01602687940351644,0,10
14.471716319775306,-0.02199572517663689,10,27
23.12808556771057,-0.0715446934984896,27,48
23.775983653867723,-0.07759703079658382,48,70
23.371825969518305,-0.07774847480468347,70,93
22.818841207722258,-0.0766870950397078,93,115
22.985822896400855,-0.07789917365757008,115,138
22.515597620940216,-0.07547401420200575,138,161
22.64098759595784,-0.07574723133491196,161,185
24.216945761937485,-0.0747337255867215,185,205
22.924533368824356,-0.06951503981068571,205,224
24.61821373694682,-0.07336906652062129,224,244
24.816457774140815,-0.0793018444106424,244,266
23.777497463770917,-0.07784428991553828,266,288
23.746009434472022,-0.06908843808623553,288,306
25.371712239402004,-0.07484851093942813,306,325
25.78161611694975,-0.07822234993155604,325,346
24.1395648656159,-0.08350767280937563,346,371
22.083756874553362,-0.07222685660786742,371,393
23.225607242819812,-0.06596991356021828,393,411
25.645876503047493,-0.07297956849263493,411,429
28.037947295265226,-0.08683875197549844,429,450
22.7765517428113,-0.08006394311116462,450,476
21.553790281638655,-0.08467912994848013,476,500
10.275791163839166,-0.04653707482964843,0,4
20.518220762917387,-0.05771663956163207,4,23
24.4061064072541,-0.07062627492372839,23,41
25.970324313945163,-0.07888834143217582,41,61
24.584867627393738,-0.07736636693724798,61,82
24.08807091976069,-0.080783277299068,82,106
22.094654494417895,-0.08738458325344249,106,139
18.997334529093568,-0.07138634990661533,139,164
20.532925234983548,-0.06541138337355147,164,186
22.870126452542973,-0.07372287035708708,186,207
25.56327489693429,-0.07919344941356792,207,228
22.649120784998882,-0.07168497134577734,228,249
24.04868812488551,-0.07658108172111094,249,270
23.650568787197034,-0.07455457606310956,270,291
23.938982009680924,-0.0718374918224307,291,311
24.936385540775596,-0.07624800159078537,311,331
24.26951460281025,-0.08923609495836282,331,359
19.737023823681184,-0.09006957702947876,359,408
16.104339366913997,-0.048890835706496744,408,429
20.830406674159665,-0.10459113023605289,429,500
2.7063818142714253,-0.015733556763972124,0,7
14.019411103459412,-0.010453046440712141,7,22
23.768318272541265,-0.0640095258481341,22,39
28.033058063682606,-0.07627441310700508,39,57
25.658848219520536,-0.07248622381657821,57,75
26.33471705673409,-0.07782899364174325,75,94
25.756309617582193,-0.076263086169717,94,113
25.544252007138137,-0.07668837904628051,113,132
25.41076319290986,-0.0774375725425026,132,153
24.579323138471015,-0.07686321192666165,153,174
24.18074383818453,-0.07588818886274766,174,194
24.417467703928114,-0.07535708532253946,194,215
24.370617629243934,-0.07701980473534031,215,236
24.084461983652258,-0.07601849200492525,236,257
24.09395507537224,-0.07732609115798235,257,278
25.633923224301295,-0.08131994817153489,278,300
22.2835484959126,-0.07252820076745534,300,322
22.66472899980357,-0.08710748448229688,322,353
19.59491148500459,-0.070983648218303,353,378
21.34055364060665,-0.044023393984402366,378,392
27.27796236385843,-0.07589157669721423,392,410
26.993616083266318,-0.0672960124695741,410,426
28.632531711885928,-0.06569571097001578,426,439
30.935375583351192,-0.06916388016010587,439,453
31.719327657301033,-0.06557542861242575,453,465
33.482988810268246,-0.08209759547962618,465,480
31.23633173792091,-0.08590043364090443,480,499
