a,b,n0,n1
2.4884580274227304,0.08272701232942846,0,39
219.614446760119,-0.15516466772768556,39,84
83.68653217368056,-0.15321226028103682,84,123
72.51021531843992,-0.14487256724471717,123,169
211.47181848822123,-0.15749792117655356,169,208
218.81898414294858,-0.15567149798415506,208,254
61.0898573094901,-0.14655049791793984,254,293
49.4769826993274,-0.14663927681063724,293,339
45.47161945522197,-0.1504046543067151,339,378
42.34309389757196,-0.14663720757612245,378,424
188.666644882018,-0.1587012966948424,424,463
198.08802729874475,-0.15601157446681546,463,500
20.373362012504078,-0.12904672087880867,0,9
118.81796741014641,-0.13715151874935366,9,48
106.54500498614141,-0.15739721600912351,48,94
168.06196734654435,-0.15959973963497004,94,133
174.0173073298795,-0.1539387890706456,133,179
137.90180377082726,-0.14976153908882184,179,218
131.0129104889943,-0.15562940664931307,218,264
142.92211387147364,-0.14654246897431203,264,303
138.76937650454607,-0.1558969154195097,303,349
85.92711643034761,-0.1397431882259599,349,388
77.25354216635118,-0.14666689025272492,388,434
67.92993371980761,-0.1469826521789414,434,473
63.60867127138977,-0.14830978962361854,473,500
13.19794344366162,-0.18432817421519662,0,19
129.98649241576416,-0.24850680703922687,19,58
131.90273681407461,-0.24600985798778802,58,104
181.72699989270265,-0.25679836199763306,104,143
187.3789066940475,-0.24949926047925117,143,189
120.41328086192611,-0.24962677956965518,189,228
115.45793184389889,-0.2447524381908462,228,274
201.02837064666795,-0.25084978875698893,274,313
206.1035715904328,-0.24973969048145048,313,359
110.46701758035995,-0.24628494594392158,359,398
102.74912858999197,-0.23620535471730558,398,509
102.2222279547565,-0.24686736835427203,509,548
105.35591964724074,-0.23866959575024171,548,594
93.13585837925228,-0.24503290415807524,594,633
89.77724145405595,-0.24273275298542835,633,679
103.35135299121039,-0.24969608167368232,679,718
102.39283618479557,-0.24050137427732982,718,764
211.45537142678918,-0.25189443655013155,764,800
1.8098438777387998e-17,0.9999999412149057,0,136
45.331376938230356,-0.21990235832826052,136,175
47.0010728471848,-0.19933489733042448,175,221
239.63835537117507,-0.21985556234190265,221,260
250.90275375781064,-0.2185128144671133,260,306
52.926265066407325,-0.18850288987066227,306,345
36.56996599903539,-0.18778386765386376,345,391
155.3365566535101,-0.2158384291805218,391,430
159.98470838640276,-0.21663323283134833,430,476
106.77078523345484,-0.2120488505602107,476,515
100.29351194500927,-0.20549758812629157,515,592
31.56177655731669,-0.2044768955582953,592,631
29.402708722243517,-0.2007567806824235,631,677
273.9380429322182,-0.22377353448402193,677,698
