Time,Jitter
1,0
2,2.006083333
3,3.905668403
4,5.684779405
5,6.809314026
6,8.405322177
7,9.893760374
8,31.47437257
9,31.28580762
10,30.92807659
11,30.59314125
12,30.27976436
13,29.98178603
14,29.70593135
15,29.44769259
16,45.7778993
17,44.59366254
18,43.59313502
19,42.65526547
20,41.77588777
21,55.83538089
22,54.12668347
23,52.52996715
24,51.00311503
25,49.35927451
26,47.73992402
27,133.8883871
28,126.978724
29,120.5742204
30,114.6056858
31,109.0133096
32,103.7706444
33,98.74895139
34,94.02362804
35,89.59294295
36,85.43930068
37,81.5429555
38,77.89143745
39,74.44689622
40,71.23806937
41,68.2312942
42,65.39419248
43,62.7309374
44,60.23388575
45,57.88651789
46,55.69030497
47,53.60566785
48,51.67638306
49,49.85592856
50,48.14268303
51,46.63622367
52,45.40554302
53,44.25465492
54,43.17544732
55,42.1642527
56,41.21638274
57,40.32775465
58,39.12454082
59,38.05532646
60,37.05344494
61,36.11623658
62,35.23948568
63,34.41696922
64,33.63222808
65,33.65973466
66,33.33035541
67,32.99874987
68,32.68912661
69,32.39622286
70,32.07888255
71,31.82461905
72,31.58794147
73,48.00740347
74,46.91777408
75,45.92464237
76,44.99307444
77,44.12004201
78,43.30208105
79,58.53672877
80,56.770961
81,54.8493176
82,53.04808942
83,51.35968799
84,49.77668666
85,48.29337986
86,46.90214778
87,63.85134688
88,61.51289464
89,59.49096373
90,57.59477155
91,55.81778583
92,54.15154227
93,52.53219588
94,65.48468364
95,63.05625896
96,60.62670111
97,58.35580313
98,55.73632932
99,53.74039207
100,51.8994509
101,50.17387411
102,48.55671531
103,62.29071227
104,59.93672331
105,57.76040727
106,55.72104848
107,53.80933712
108,52.01710771
109,50.33683015
110,48.53413937
111,63.2302765
112,60.86146755
113,58.74402166
114,56.74091614
115,54.87900471
116,53.13615025
117,51.5021617
118,49.79717242
119,63.23182831
120,61.02018627
121,59.02779962
122,57.1599927
123,55.40886816
124,53.76649446
125,51.56133855
126,62.40306739
127,60.23537568
128,57.98862303
129,55.88285493
130,53.90831538
131,52.05775401
132,50.32285271
133,604.5676605
134,568.2978276
135,534.2970467
136,502.6654327
137,473.1092806
138,445.3997561
139,419.4222644
140,394.9474285
141,372.1175197
142,350.7205498
143,330.4733279
144,311.4173768
145,293.5524227
146,276.8040908
147,261.102592
148,246.3824995
149,232.5822877
150,219.6185892
151,207.4267676
152,195.955678
153,185.2017814
154,175.119684
155,165.6682871
156,156.807415
157,148.5006599
158,140.7126395
159,133.4109884
160,126.6569127
161,120.3391751
162,114.4158517
163,108.8635554
164,103.6581526
165,98.12702502
166,93.5894679
167,89.3377581
168,85.27753017
169,81.44158036
170,77.84518992
171,74.47300444
172,435.4873444
173,409.6955035
174,385.5826803
175,362.9775336
176,341.7843892
177,321.9165732
178,303.2906832
179,285.8286613
180,269.4569464
181,274.3081789
182,258.5596052
183,243.7590605
184,229.8833622
185,216.8750826
186,204.6796955
187,193.2467076
188,182.528344
189,172.4799405
190,184.0820831
191,173.9507307
192,164.5479628
193,155.7328679
194,147.4689664
195,139.7212463
196,132.4581337
197,125.0850281
198,118.7343041
199,133.0111949
200,126.1587105
201,119.7194577
202,113.6827208
203,108.0241618
204,102.7185059
205,97.74514789
206,93.08193031
207,88.70991383
208,109.7312456
209,104.2924664
210,99.13348583
211,94.29676102
212,89.51439401
213,85.27754994
214,81.30663363
215,77.58452458
216,74.09192235
217,70.82073276
218,239.2805689
219,225.5138389
220,212.5426129
221,200.3828384
222,188.9832999
223,178.2961076
224,168.2768647
225,158.8840121
226,150.0779627
227,141.8223539
228,133.9429707
229,126.6914864
230,119.9253171
231,113.7500195
232,107.9604905
233,102.5329946
234,97.44302966
235,92.67275003
236,88.20067537
237,84.00823039
238,80.07312571
239,76.38634007
240,72.9044091
241,69.57884186
242,66.46074063
243,63.53577768
244,60.79511796
245,58.22669392
246,55.81528944
247,53.46147274
248,51.34846403
249,48.78676141
250,46.96566521
251,45.20565142
252,43.53272181
253,41.96453781
254,40.49455281
255,39.11637937
256,95.15211955
257,90.66213985
258,86.5137075
259,82.62530912
260,78.98012313
261,75.56169182
262,72.35766942
263,69.35421091
264,66.53746162
265,79.71797444
266,76.13848298
267,72.69942501
268,69.47637762
269,66.45445124
270,63.62089526
271,60.96462403
272,58.06499475
273,55.7531548
274,53.58799234
275,68.6940831
276,65.91684874
277,63.39461514
278,61.03102114
279,58.81496426
280,56.73747344
281,54.78995079
282,52.96364831
283,71.83891335
284,68.70500904
285,65.74780014
286,586.0960835
287,550.8004324
288,517.7141346
289,486.6962303
290,457.6173826
291,430.3558378
292,404.7981396
293,380.8377351
294,358.5971405
295,337.7832012
296,318.2704456
297,299.9772997
298,282.8265934
299,266.7486883
300,251.6754022
301,237.5441965
302,224.1254828
303,211.4773832
304,199.6200398
305,188.5035929
306,178.0819864
307,168.3117928
308,159.1521738
309,150.564781
310,142.5141002
311,135.0006148
312,128.1617083
313,121.7496641
314,115.7390045
315,110.1040112
316,104.8213924
317,99.86874983
318,94.58495991
319,90.26809436
320,86.02724818
321,82.05164239
322,78.32558141
323,74.83151729
324,71.55595719
325,551.0538071
326,518.4495414
327,487.9057506
328,459.2713842
329,432.4272352
330,407.2601511
331,383.6660722
332,369.4754496
333,348.1639632
334,334.9997294
335,315.807038
336,297.8207092
337,280.9589565
338,265.1496329
339,250.1313641
340,236.3273553
341,223.5789233
342,211.6301365
343,200.4291557
344,189.9249793
345,180.0804459
346,180.4455222
347,170.7792048
348,161.6497198
349,153.0907651
350,145.0670576
351,137.5440748
352,130.4921604
353,123.8808031
354,128.2673502
355,121.9980366
356,116.3978121
357,111.1481016
358,106.2262411
359,101.6125663
360,105.1397601
361,100.5918654
362,96.16080433
363,91.98293462
364,88.09205676
365,84.44592821
366,81.02773825
367,85.07107406
368,80.95456249
369,77.91924261
370,75.07463022
371,100.910945
372,96.62622622
373,92.61179541
374,88.84846098
375,85.34677939
376,82.08390429
377,79.02433388
378,76.15679912
379,73.46529779
380,70.94532779
381,68.58298091
382,66.36821822
383,64.29124624
384,62.34490447
385,60.52002155
386,56.90144381
387,55.41402718
388,53.89006715
389,52.46134768
390,51.12204817
391,49.86632988
392,48.68966343
393,52.88846224
394,51.63248196
395,50.74278518
396,49.90894444
397,48.5589618
398,47.85967252
399,63.06123465
400,60.6762061
401,57.51075572
402,55.16157654
403,52.96097801
404,50.89847938
405,48.96513692
406,47.15187142
407,45.45262945
408,43.84246511
409,59.34056799
410,57.07338666
411,55.44495971
412,53.91812195
413,52.487031
414,51.14550128
415,49.88750467
416,56.44643146
417,54.76844616
418,53.13155717
419,244.6195085
420,231.1149281
421,218.456509
422,206.589616
423,195.4646539
424,185.0247797
425,175.2134671
426,166.0101671
427,157.3865802
428,149.3023356
429,141.7226133
430,134.6175541
431,127.9573806
432,121.7715651
433,115.9842798
434,110.5581304
435,105.4696222
436,100.7005139
437,96.23035678
438,92.03889698
439,88.0121187
440,84.19881961
441,80.62385172
442,77.27219432
443,74.13070301
444,71.1856174
445,68.42453715
446,65.83621191
447,63.62064311
448,61.54360986
449,59.59639119
450,57.77081118
451,55.52939243
452,53.95581235
453,52.47759491
454,51.05786328
455,49.72711488
456,48.47947576
457,47.31050852
458,224.9747267
459,211.8998549
460,201.1175862
461,191.0115843
462,181.537145
463,179.1468512
464,170.3312077
465,161.5837017
466,153.3831023
467,145.6951653
468,138.4877245
469,131.7315681
470,132.9371506
471,126.6029259
472,120.8598403
473,115.4763225
474,110.4291495
475,105.6974249
476,109.2144886
477,104.4472081
478,99.70590343
479,95.26104835
480,90.45324672
481,86.58412019
482,82.95893907
483,86.39824149
484,82.78236528
485,79.72755773
486,76.86449509
487,74.17980443
488,71.66309443
489,69.30418575
490,76.03783386
491,73.49101091
492,71.11889218
493,68.89671141
494,66.79491695
495,68.6472277
496,66.57765097
497,64.81506167
498,63.16237726
499,61.61336063
500,60.16172698
501,71.58804959
502,68.78697705
503,65.62494376
504,484.4921001
505,455.3466216
506,428.0241105
507,402.4101939
508,378.3983415
509,355.8863479
510,334.7815415
511,314.9956604
512,296.4464038
513,279.1959967
514,263.8650871
515,249.4930539
516,236.0190783
517,223.3874137
518,211.5457351
519,200.4434669
520,189.8969586
521,180.0050445
522,170.7358125
523,162.0460951
524,153.8801725
525,146.242127
526,139.1635079
527,132.6327609
528,126.5131231
529,120.7762126
530,115.1619285
531,110.1295302
532,105.394504
533,100.9265628
534,96.73818036
535,92.81170381
536,88.8623751
537,85.39544194
538,82.22221293
539,79.36201212
540,76.68012942
541,74.16687133
542,71.80987243
543,522.7679429
544,492.7739673
545,463.1141916
546,435.3075824
547,409.2391363
548,384.799843
549,361.8886375
550,340.408938
551,320.2715321
552,301.3927142
553,283.6942667
554,267.0997778
555,268.6275765
556,253.5938321
557,239.9667176
558,227.1924297
559,215.2157778
560,203.9884237
561,202.7203972
562,191.9718724
563,181.8689498
564,172.4003974
565,163.5232545
566,155.2009955
567,147.3993777
568,156.3664722
569,148.6389982
570,141.41979
571,134.1562892
572,127.8406948
573,121.921825
574,136.5496623
575,130.2031695
576,124.3435895
577,118.8498026
578,113.6952455
579,108.8657302
580,110.993504
581,106.1964794
582,101.6789217
583,97.44282936
584,93.4721178
585,89.75027016
586,94.531538
587,90.61287243
588,86.88829012
589,406.0887373
590,382.6449204
591,360.6682726
592,340.0650402
593,320.7502669
594,303.1020697
595,286.5566972
596,271.0459176
597,256.5042422
598,242.871234
599,229.3833235
600,216.2129352
601,203.8666337
602,192.2925455
603,181.4416434
604,171.2695545
605,161.7325268
606,152.7917508
607,144.3602178
608,136.5027736
609,129.1386697
610,122.5159473
611,116.6815131
612,111.2112241
613,106.0790851
614,101.2712603
615,96.76030655
616,92.53559989
617,88.46060407
618,84.35301076
619,80.49264203
620,76.8518519
621,73.0131181
622,69.86868017
623,66.9253946
624,64.16125188
625,61.57448614
626,59.16075437
627,56.95678361
628,180.5584638
629,170.7175459
630,161.4923035
631,152.8440206
632,144.7371235
633,137.1376644
634,130.0610881
635,123.719409
636,117.7739598
637,112.1986637
638,106.9714486
639,102.0705595
640,97.47697592
641,93.17056076
642,89.1950396
643,85.47809268
644,81.99395494
645,78.72757581
646,75.66591482
647,72.7945382
648,70.10306012
649,67.4337022
650,64.90680414
651,62.53771222
652,60.31650104
653,58.23367111
654,56.2814625
655,54.45089193
656,52.66080146
657,50.53751526
658,48.5345525
659,46.66777491
660,44.38574037
661,42.77645104
662,41.27049924
663,39.85841248
664,38.53439365
665,37.29407043
666,36.13057297
667,437.2774399
668,411.7771208
669,387.7281341
670,365.182709
671,344.0461855
672,324.2305073
673,305.6536214
674,288.2371659
675,284.8235722
676,268.6857725
677,253.5495645
678,239.3594945
679,226.0565539
680,213.5838526
681,201.8917646
682,190.3754321
683,193.1501273
684,182.6364249
685,172.7660511
686,163.5122632
687,154.8370245
688,146.7043008
689,139.0789903
690,131.9308937
691,140.8681851
692,133.6539304
693,126.9569001
694,120.6788091
695,114.7924669
696,109.274778
697,104.1021321
698,99.24670719
699,105.8396352
700,100.8626441
701,96.18495803
702,91.80000232
703,87.68954384
704,83.83580152
705,80.22298059
706,76.83571097
707,93.38224987
708,89.19038703
709,85.27225867
710,81.59552028
711,78.15257804
712,74.32475025
713,71.33016864
714,68.52868587
715,75.86842773
716,72.59785239
717,69.46164633
718,66.50832816
719,63.75222432
720,61.16912002
721,58.74370974
722,56.4734501
723,54.34596364
724,62.63399369
725,60.03268158
726,58.06521537
727,56.2226533
728,54.49537636
729,52.87624173
730,51.35792801
731,63.64179362
732,61.43461902
733,59.28172616
734,57.26388911
735,55.37241687
736,53.59903665
737,51.93630519
738,50.37718195
739,65.12471225
740,62.70036912
741,60.3796655
742,58.20419335
743,56.16487571
744,54.25257098
745,52.46035473
746,50.78015201
747,64.98819806
748,62.38583846
